,objectname,rating,numplays,average,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,itemtype,,,,,,,,,,,,,
1917,"Flamme Rouge","6","1","7.59004","Flamme Rouge","2","4","45","45","30","2016","standalone",,,,,,,,,,,,,
1918,"Flamme Rouge: Brettspiel Adventskalender 2017 Promo","6","","7.35714","Flamme Rouge: Brettspiel Adventskalender 2017 Promo","2","4","45","45","30","2017","expansion",,,,,,,,,,,,,
1919,"Flamme Rouge: Le Grand Tour 2018","7","","8.07895","Flamme Rouge: Le Grand Tour 2018","1","4","45","45","30","2018","expansion",,,,,,,,,,,,,
1920,"Flamme Rouge: Meteo","5","","7.42869","Flamme Rouge: Meteo","2","4","45","45","30","2018","expansion",,,,,,,,,,,,,
1921,"Flamme Rouge: Peloton","6","","8.15193","Flamme Rouge: Peloton","1","12","60","60","30","2017","expansion","2017","Multilingual second edition",,,,,,,,,,,
1922,"Flamme Rouge: Team Trial","6","","6.925","Flamme Rouge: Team Trial","2","4","45","45","30","2017","expansion",,,,,,,,,,,,,
1923,"Flaschenteufel","5","4","6.75508","The Bottle Imp","2","4","30","30","30","2003","standalone",,,,,,,,,,,,,
1924,"Flash","6","12","6.91054","Unanimo","3","8","30","30","30","1991","standalone",,,,,,,,,,,,,
1925,"Flashpoint: Golan","6","","7.23649","Flashpoint: Golan","2","2","360","360","360","1991","standalone",,,,,,,,,,,,,
1926,"Flat Top","7","","7.30031","Flat Top","2","2","360","360","360","1981","standalone",,,,,,,,,,,,,
1927,"Fleet","8","1","6.94625","Fleet","2","4","45","45","30","2012","standalone",,,,,,,,,,,,,
1928,"Fleet Wharfside","7","","6.93861","Fleet Wharfside","2","4","30","30","20","2015","standalone",,,,,,,,,,,,,
1929,"Fleet: Arctic Bounty","8","","7.63656","Fleet: Arctic Bounty","1","4","30","30","30","2014","expansion",,,,,,,,,,,,,
1930,'"Fleet: Captain''s Club & Research Vessel"',"5","","5.8",'"Fleet: Captain''s Club & Research Vessel"',"1","6","45","45","30","2018","expansion",,,,,,,,,,,,,
1931,"Fleet: Charter Boat Cards","8","","7.4902","Fleet: Charter Boat Cards","1","6","30","30","30","2014","expansion",,,,,,,,,,,,,
1932,"Fleet: Crab Meeples","7","","7.16118","Fleet: Crab Meeples","1","6","30","30","30","2014","expansion",,,,,,,,,,,,,
1933,"Fleet: First Mate","6","","7.23654","Fleet: First Mate","1","6","30","30","30","2014","expansion",,,,,,,,,,,,,
1934,"Fleet: House Boat","6","","7.326","Fleet: House Boat","1","6","30","30","30","2014","expansion",,,,,,,,,,,,,
1935,"Fleet: Inuit Fisherman","6","","7.25708","Fleet: Inuit Fisherman","2","4","0","0","0","2012","expansion",,,,,,,,,,,,,
1936,"Fleet: Nunavut Weather Authority","6","","6.58382","Fleet: Nunavut Weather Authority","2","4","0","0","0","2012","expansion",,,,,,,,,,,,,
1937,"Fleet: Salmon License","8","","7.58179","Fleet: Salmon License","1","6","30","30","30","2014","expansion",,,,,,,,,,,,,
1938,"Fleet: Salty Captains","6","","7.28048","Fleet: Salty Captains","2","4","0","0","0","2012","expansion",,,,,,,,,,,,,
1939,"Fleet: Salvage Yard Licenses","5","","7.30436","Fleet: Salvage Yard Licenses","2","4","0","0","0","2012","expansion",,,,,,,,,,,,,
1940,"Fleet: The Dice Game","7","","7.76773","Fleet: The Dice Game","1","4","45","45","30","2018","standalone",,,,,,,,,,,,,
1941,"Fleet: The Dice Game – Deluxe Extras","7","","7.52041","Fleet: The Dice Game – Deluxe Extras","1","4","45","45","30","2018","expansion",,,,,,,,,,,,,
1942,"Fleet: Trophy Cards","6","","7.59362","Fleet: Trophy Cards","1","6","30","30","30","2014","expansion",,,,,,,,,,,,,
1943,"Fleet: Wharfside Casino","5","","6.83889","Fleet: Wharfside Casino","2","4","30","30","30","2012","expansion",,,,,,,,,,,,,
1944,"Flickwerk","5","1","6.06728","Turbo Taxi","2","4","30","30","30","2000","standalone",,,,,,,,,,,,,
1945,"Der Fliegende Holländer","4","","6.00359","Der Fliegende Holländer","3","6","60","60","60","1992","standalone",,,,,,,,,,,,,
1946,"Fliegende Teppiche","5","","5.82589","Fliegende Teppiche","2","4","30","30","30","2011","standalone",,,,,,,,,,,,,
1947,"Fliegenfänger","4","","4.66667","Fliegenfänger","3","6","30","30","30","2003","standalone",,,,,,,,,,,,,
1948,"Flight Leader","5","","6.16065","Flight Leader","2","8","90","90","90","1986","standalone",,,,,,,,,,,,,
1949,'"Flippin'' Fruit"',"7","17","6.94571",'"Flippin'' Fruit"',"2","4","15","15","15","2014","standalone",,,,,,,,,,,,,
1950,'"Flippin'' Fruit:  Bonus Fruit Basket Cards"',"6","","6.33333",'"Flippin'' Fruit:  Bonus Fruit Basket Cards"',"2","4","15","15","15","2014","expansion",,,,,,,,,,,,,
1951,'"Flippin'' Fruit: Melon Mowbray"',"7","","6.66667",'"Flippin'' Fruit: Melon Mowbray"',"2","4","15","15","15","2014","expansion",,,,,,,,,,,,,
1952,'"Flippin'' Fruit: Tropical Expansion"',"7","","6.66667",'"Flippin'' Fruit: Tropical Expansion"',"2","4","0","0","0","2014","expansion",,,,,,,,,,,,,
1953,"Flowerpower","5","9","6.57951","Flowerpower","1","2","30","30","30","2001","standalone",,,,,,,,,,,,,
1954,"Flusspiraten","7","15","6.16161","Flußpiraten","3","6","90","90","90","1990","standalone",,,,,,,,,,,,,
1955,"Fluxx","5","11","5.57257","thing","Fluxx","2","6","30","30","5","",,,,,,,,,,,,,
1956,"Fluxx","5","11","5.68447","Fluxx","2","6","30","30","5","2008","standalone",,,,,,,,,,,,,
1957,"Fluxx Blanxx","3","","6.22035","Fluxx Blanxx","2","6","5","5","5","2001","expansion",,,,,,,,,,,,,
1958,"Fluxx Dice","5","","6.45333","Fluxx Dice","2","6","30","30","10","2015","expansion",,,,,,,,,,,,,
1959,"Fluxx Promo Cards","6","","6.51109","Fluxx Promo Cards","2","6","15","15","15","1997","expansion",,,,,,,,,,,,,
1960,"Fluxx: BoardGameGeek Expansion","6","","12638536","733","thing","Fluxx: BoardGameGeek Expansion","2","6","15","15","",,,,,,,,,,,,,
1961,"Fluxx: International TableTop Day Expansion","6","","6.51972","Fluxx: International TableTop Day Expansion","2","6","0","0","0","2015","expansion",,,,,,,,,,,,,
1962,"Fluxx: Press Your Luck Promo Card","5","","6.51109","Fluxx Promo Cards","2","6","15","15","15","2011","expansion",,,,,,,,,,,,,
1963,"Fluxx: Tie-Dye Bonus Promo Card","5","","6.51109","Fluxx Promo Cards","2","6","15","15","15","2014","expansion",,,,,,,,,,,,,
1964,"Flying Circus Deluxe: Bombers & Campaigns","9","","7.05303","Flying Circus Deluxe: Bombers & Campaigns","2","2","60","60","60","2008","expansion",,,,,,,,,,,,,
1965,"Flying Circus: Aerial Combat in WWI","8","","6.50357","Flying Circus: Aerial Combat in WWI","2","2","30","30","30","2008","standalone",,,,,,,,,,,,,
1966,"Flying Colors","7","","7.45616","Flying Colors","1","4","240","240","240","2005","standalone",,,,,,,,,,,,,
1967,"Flying Colors: Ship of the Line","7","","7.6828","Flying Colors: Ship of the Line","2","2","240","240","240","2009","expansion",,,,,,,,,,,,,
1968,"The Flying Tigers","7","","7.09091","The Flying Tigers","2","2","0","0","0","1999","expansion",,,,,,,,,,,,,
1969,"Focus","4","3","6.45871","Focus","2","4","45","45","45","1980","standalone",,,,,,,,,,,,,
1970,"Football Strategy","5","","6.42122","Football Strategy","2","4","150","150","150","1972","standalone",,,,,,,,,,,,,
1971,"Footmania","6","1","6.43846","Footmania","2","4","120","120","120","1993","standalone",,,,,,,,,,,,,
1972,"For King and Country: ASL module 5a","10","","8.59803","For King and Country: ASL module 5a","2","6","240","240","240","2003","expansion",,,,,,,,,,,,,
1973,"For Sale","6","","7.22024","For Sale","3","6","30","30","30","1997","standalone",,,,,,,,,,,,,
1974,"For the People","6","","7.72435","For the People","2","2","360","360","360","1998","standalone",,,,,,,,,,,,,
1975,"For the People","7","","7.72435","For the People","2","2","360","360","360","2006","standalone",,,,,,,,,,,,,
1976,"Forbidden Stars","8","1","7.9724","Forbidden Stars","2","4","180","180","120","2015","standalone",,,,,,,,,,,,,
1977,"Foreign Exchange","3","","4.30149","Foreign Exchange","2","4","60","60","60","1979","standalone",,,,,,,,,,,,,
1978,"Forgotten Counters of World War II","0","","6","Forgotten Counters of World War II","2","2","0","0","0","1994","expansion",,,,,,,,,,,,,
1979,"Forgotten War: Korea 1950-1953 – ASL Module 15","9","","","0","397","thing","Forgotten War: Korea 1950-1953 – ASL Module 15","2","2","120","",,,,,,,,,,,,,
1980,"Formel 1 Nürburgring","5","1","6.44063","Formel 1 Nürburgring","2","6","60","60","60","1985","standalone",,,,,,,,,,,,,
1981,"Formel Fun","4","1","6.41799","Formel Fun","3","6","30","30","30","1999","standalone",,,,,,,,,,,,,
1982,"Formula Dé","8","45","6.72781","thing","Formula Dé","2","10","120","120","120","",,,,,,,,,,,,,
1983,"Formula Dé Circuits 1 & 2: Monaco & Zandvoort 1","7","","7.57569","Formula Dé Circuits 1 & 2: Monaco & Zandvoort 1","2","10","120","120","120","1997","expansion",,,,,,,,,,,,,
1984,"Formula Dé Circuits 15 & 16: Hockenheim & Zeltweg","7","","7.55141","Formula Dé Circuits 15 & 16: Hockenheim & Zeltweg","2","10","120","120","120","1999","expansion",,,,,,,,,,,,,
1985,"Formula Dé Circuits 23 - 26: USA Track Pack #1","7","","7.3789","Formula Dé Circuits 23 - 26: USA Track Pack #1","2","10","120","120","120","1999","expansion",,,,,,,,,,,,,
1986,"Formula Dé Circuits 27 - 30: USA Track Pack #2","7","","7.3319","Formula Dé Circuits 27 - 30: USA Track Pack #2","2","10","120","120","120","2000","expansion",,,,,,,,,,,,,
1987,"Formula Motor Racing","5","2","6.40474","Formula Motor Racing","3","6","20","20","20","2001","standalone",,,,,,,,,,,,,
1988,"Formula Motor Racing","5","2","6.40474","Formula Motor Racing","3","6","20","20","20","1995","standalone",,,,,,,,,,,,,
1989,"Formule Dé","8","","7.24282","Formule Dé","2","10","120","120","120","1991","standalone",,,,,,,,,,,,,
1990,"Formule Dé Circuit ,"64862","8","0","thing","Formule Dé Circuit ,№ 10: GRANDE PREMIO DE BRASIL – Circuito do Interlagos","2","10","120","120","",,,,,,,,,,,,,
1991,"Formule Dé Circuit ,"64861","8","0","thing","Formule Dé Circuit ,№ 9: GRAND PRIX DU CANADA – Circuit Gilles Villeneuve","2","10","120","120","",,,,,,,,,,,,,
1992,"Formule Dé Circuit № 11: JAPAN GRAND PRIX – Suzuka Circuit","8","","7.53571","Formule Dé Circuit № 11: JAPAN GRAND PRIX – Suzuka Circuit","2","10","120","120","120","1995","expansion",,,,,,,,,,,,,
1993,"Formule Dé Circuit № 12: SOUTH of AFRICA GRAND PRIX – Kyalami Circuit","8","","7.70833","Formule Dé Circuit № 12: SOUTH of AFRICA GRAND PRIX – Kyalami Circuit","2","10","120","120","120","1996","expansion",,,,,,,,,,,,,
1994,"Formule Dé Circuit № 13: SAN MARINO – Autodromo Enzo & Dino Ferrari","8","","7.55556","Formule Dé Circuit № 13: SAN MARINO – Autodromo Enzo & Dino Ferrari","2","10","120","120","120","1996","expansion",,,,,,,,,,,,,
1995,"Formule Dé Circuit № 1: Grand Prix de MONACO","8","","7.06","Formule Dé Circuit № 1: Grand Prix de MONACO","2","10","120","120","120","1991","expansion",,,,,,,,,,,,,
1996,"Formule Dé Circuit № 2: FRANCE – Circuit de Nevers Magny-Cours","8","","7.44286","Formule Dé Circuit № 2: FRANCE – Circuit de Nevers Magny-Cours","2","10","120","120","120","1991","expansion",,,,,,,,,,,,,
1997,'"Formule Dé Circuit № 3: GRAN PREMO D''ITALIA – Autodromo Nazionale Monza"',"8","","7.25652",'"Formule Dé Circuit № 3: GRAN PREMO D''ITALIA – Autodromo Nazionale Monza"',"2","10","120","120","120","1992","expansion",,,,,,,,,,,,,
1998,"Formule Dé Circuit № 4: GROSSER PREIS VON DEUTSCHLAND – Hockenheim Ring","8","","7.53571","Formule Dé Circuit № 4: GROSSER PREIS VON DEUTSCHLAND – Hockenheim Ring","2","10","120","120","120","1992","expansion",,,,,,,,,,,,,
1999,"Formule Dé Circuit № 5: GRAND PRIX DE BELGIQUE – Circuit de Spa – Francorchamps","8","","7.8","Formule Dé Circuit № 5: GRAND PRIX DE BELGIQUE – Circuit de Spa – Francorchamps","2","10","120","120","120","1993","expansion",,,,,,,,,,,,,
2000,"Formule Dé Circuit № 6: GRANDE PREMIO DE PORTUGAL – Circuito do Estoril","8","","7.11364","Formule Dé Circuit № 6: GRANDE PREMIO DE PORTUGAL – Circuito do Estoril","2","10","120","120","120","1993","expansion",,,,,,,,,,,,,
2001,"Formule Dé Circuit № 7: BRITISH GRAND PRIX – Silverstone Circuit","8","","7.5","Formule Dé Circuit № 7: BRITISH GRAND PRIX – Silverstone Circuit","2","10","120","120","120","1993","expansion",,,,,,,,,,,,,
2002,"Formule Dé Circuit № 8: GRAN PREMIO DE ESPAÑA – Circuit de Catalunya","8","","7.47059","Formule Dé Circuit № 8: GRAN PREMIO DE ESPAÑA – Circuit de Catalunya","2","10","120","120","120","1994","expansion",,,,,,,,,,,,,
2003,"Formule Dé: World Championship","6","","6.58684","Formule Dé: World Championship","2","10","120","120","120","1996","expansion",,,,,,,,,,,,,
2004,"Fortress America","7","2","6.70305","Fortress America","2","4","180","180","180","1987","standalone",,,,,,,,,,,,,
2005,"Fortress Cassino: The Road to Rome","7","2","7.66667","Fortress Cassino: The Road to Rome","2","2","180","180","180","1998","expansion",,,,,,,,,,,,,
2006,"Fortress Europa","6","","6.63082","Fortress Europa","2","2","240","240","240","1980","standalone",,,,,,,,,,,,,
2007,"Forum Romanum","5","9","6.78058","Forum Romanum","2","6","45","45","45","1988","standalone",,,,,,,,,,,,,
2008,"Four Battles of the Ancient World","4","1","6.11777","Four Battles of the Ancient World","1","2","60","60","60","1992","standalone",,,,,,,,,,,,,
2009,"Fox One","4","1","4.60526","Fox One","2","6","45","45","45","1996","standalone",,,,,,,,,,,,,
2010,"Frachtexpress","4","","6.31993","Frachtexpress","3","4","45","45","45","2001","standalone",,,,,,,,,,,,,
2011,"Frag","6","","5.68326","Frag","2","6","30","30","30","2001","standalone",,,,,,,,,,,,,
2012,"Frag: Death Match","4","","6.35333","Frag: Death Match","2","6","45","45","45","2001","expansion",,,,,,,,,,,,,
2013,"Frag: Fire Zone","5","","6.22143","Frag: Fire Zone","2","6","45","45","45","2002","expansion",,,,,,,,,,,,,
2014,"Le Franc Tireur #12: PTO and Chinese Civil War for ASL","7","","8.06","Le Franc Tireur #12: PTO and Chinese Civil War for ASL","1","2","240","240","240","2010","expansion",,,,,,,,,,,,,
2015,'"Le Franc Tireur #6: La Guerre D''Espagne"',"7","","7.42857",'"Le Franc Tireur #6: La Guerre D''Espagne"',"2","2","0","0","0","2001","expansion",,,,,,,,,,,,,
2016,"Le Franc Tireur #7: de Barbarossa a Moscou","7","","7.25","Le Franc Tireur #7: de Barbarossa a Moscou","2","2","0","0","0","2002","expansion",,,,,,,,,,,,,
2017,"Le Franc Tireur #8: Normandy June – August 1944","7","","7.25","Le Franc Tireur #8: Normandy June – August 1944","2","2","0","0","0","2004","expansion",,,,,,,,,,,,,
2018,"Le Franc Tireur #9: Yugoslavia","7","","7.75","Le Franc Tireur #9: Yugoslavia","0","0","0","0","0","2006","expansion",,,,,,,,,,,,,
2019,"Le Franc-Tireur #10: Division Azul","7","6","7.82609","Le Franc-Tireur #10: Division Azul","2","2","0","0","0","2009","expansion",,,,,,,,,,,,,
2020,"Le Franc-Tireur #11: France 1940","7","1","8.02","Le Franc-Tireur #11: France 1940","2","2","0","0","0","2009","expansion",,,,,,,,,,,,,
2021,"Le Franc-Tireur #1: Indochine 1940","6","","6.25","Le Franc-Tireur #1: Indochine 1940","1","2","0","0","0","1996","expansion",,,,,,,,,,,,,
2022,"France 1944: The Allied Crusade in Europe","5","","6.22147","France 1944: The Allied Crusade in Europe","1","2","360","360","360","1986","standalone",,,,,,,,,,,,,
2023,"Frederick the Great","6","","6.88946","Frederick the Great","2","4","240","240","240","1982","standalone",,,,,,,,,,,,,
2024,"Freedom in the Galaxy","7","","6.67956","Freedom in the Galaxy","2","2","120","120","120","1981","standalone",,,,,,,,,,,,,
2025,"Freeloader","5","","5.63643","Freeloader","3","6","90","90","90","2002","standalone",,,,,,,,,,,,,
2026,"Freight Train","6","3","6.41519","Freight Train","2","5","90","90","90","1996","standalone",,,,,,,,,,,,,
2027,"Freight Train","6","3","6.41519","Freight Train","2","5","90","90","90","1993","standalone",,,,,,,,,,,,,
2028,"Freight Yard","6","","6.16667","Freight Yard","2","6","120","120","120","2001","standalone",,,,,,,,,,,,,
2029,"Frenzy Dwarf Deck (Green)","5","","5.65282","Frenzy","2","2","20","20","20","2003","standalone",,,,,,,,,,,,,
2030,"Frenzy Human Deck (Blue)","5","","5.65282","Frenzy","2","2","20","20","20","2003","standalone",,,,,,,,,,,,,
2031,"Frenzy Orc Deck (Red)","5","","5.65282","Frenzy","2","2","20","20","20","2003","standalone",,,,,,,,,,,,,
2032,"Frenzy Undead Deck (Purple)","5","","5.65282","Frenzy","2","2","20","20","20","2003","standalone",,,,,,,,,,,,,
2033,"Fresco: Expansion Modules 8,"148289","4","","7.51867","3","0","881","thing","Fresco: Expansion Modules 8, 9 and 10","", Spanish","2013","Multilingual first edition",,,,,,,,,,
2034,'"Fresco: The Bishop''s Favor"',"4","","7.03121",'"Fresco: The Bishop''s Favor"',"2","4","60","60","60","2011","expansion",,,,,,,,,,,,,
2035,"Fresco: The Scrolls","4","","5.74844","thing","Fresco: Expansion Module 7 – The Scrolls","2","4","45","45","45","",,,,,,,,,,,,,
2036,"Fresko","7","3","7.30788","Fresco","2","4","60","60","60","2010","standalone",,,,,,,,,,,,,
2037,"Fresko: Erweiterungsmodule 4,"85925","7","","0","2368","thing","Fresco: Expansion Modules 4, 5 and 6","2","4","",,,,,,,,,,,,,
2038,"Friedrich","5","","7.56055","Friedrich","3","4","210","210","210","2004","standalone",,,,,,,,,,,,,
2039,"Friendly Fire Pack 1","8","","8.21429","Friendly Fire Pack 1","2","2","0","0","0","2003","expansion",,,,,,,,,,,,,
2040,"Friendly Fire Pack 2","8","","8.03333","Friendly Fire Pack 2","2","2","0","0","0","2006","expansion",,,,,,,,,,,,,
2041,"Friendly Fire Pack 3","8","","8.13333","Friendly Fire Pack 3","2","2","0","0","0","2007","expansion",,,,,,,,,,,,,
2042,"Friendly Fire Pack 4","8","","7.98214","Friendly Fire Pack 4","2","2","0","0","0","2008","expansion",,,,,,,,,,,,,
2043,"Friendly Fire Pack 5","8","","8.15385","Friendly Fire Pack 5","2","2","0","0","0","2009","expansion",,,,,,,,,,,,,
2044,"Friendly Fire Pack 6","8","","8.15","Friendly Fire Pack 6","0","0","0","0","0","2010","expansion",,,,,,,,,,,,,
2045,"Friendly Fire Pack 7","8","","7.83333","Friendly Fire Pack 7","2","2","0","0","0","2011","expansion",,,,,,,,,,,,,
2046,"Friesematenten","7","7","6.25588","Friesematenten","2","4","60","60","60","1999","standalone",,,,,,,,,,,,,
2047,"Frieses Wucherer","6","","6.50356",'"Friese''s Landlord"',"2","6","40","40","40","2013","standalone",,,,,,,,,,,,,
2048,"From the Cellar: Pack 1","7","1","7.14286","From the Cellar: Pack 1","2","2","0","0","0","2004","expansion",,,,,,,,,,,,,
2049,"From the Cellar: Pack 2","7","","6.88889","From the Cellar: Pack 2","2","2","0","0","0","2007","expansion",,,,,,,,,,,,,
2050,"From the Cellar: Pack 3","7","","7.7","From the Cellar: Pack 3","2","2","360","360","360","2008","expansion",,,,,,,,,,,,,
2051,"From the Cellar: Pack 4","7","","8.09091","From the Cellar: Pack 4","1","2","120","120","120","2009","expansion",,,,,,,,,,,,,
2052,"From the Cellar: Pack 5","7","1","7.71429","From the Cellar: Pack 5","2","2","240","240","240","2010","expansion",,,,,,,,,,,,,
2053,"From the Cellar: Pack 6","7","","7.84615","From the Cellar: Pack 6","2","2","180","180","180","2011","expansion",,,,,,,,,,,,,
2054,"From the Cellar: Pack 7","7","","7.8","From the Cellar: Pack 7","2","0","300","300","105","2012","expansion",,,,,,,,,,,,,
2055,"From the Cellar: Pack 8","8","","8.66667","From the Cellar: Pack 8","2","2","600","600","150","2017","expansion",,,,,,,,,,,,,
2056,"Früchtchen","2","1","4.55556","Früchtchen","3","6","45","45","45","1998","standalone",,,,,,,,,,,,,
2057,"Die Fugger","6","","6.44644","Die Fugger","2","4","45","45","45","2003","standalone",,,,,,,,,,,,,
2058,"Führer Quartett","2","6","4.46111","The Game of Authors","2","6","15","15","5","2008","standalone",,,,,,,,,,,,,
2059,"Full Metal Planète","5","2","7.46402","Full Metal Planète","2","4","90","90","90","1988","standalone",,,,,,,,,,,,,
2060,"Full Metal Planete: Plateau Modulaire","5","","7.52586","Full Metal Planete: Plateau Modulaire","0","0","120","120","120","1989","expansion",,,,,,,,,,,,,
2061,"Fundstücke","5","","6.24708","Unexpected Treasures","3","6","30","30","30","2002","standalone",,,,,,,,,,,,,
2062,"Funkenschlag","7","1","7.55318","Funkenschlag","2","6","180","180","180","2001","standalone",,,,,,,,,,,,,
2063,"Funkenschlag","10","22","7.88568","Power Grid","2","6","120","120","120","2004","standalone",,,,,,,,,,,,,
2064,"Funkenschlag: Australien & Indischer Subkontinent","9","","7.99719","Power Grid: Australia & Indian Subcontinent","2","6","120","120","120","2013","expansion",,,,,,,,,,,,,
2065,"Funkenschlag: Der Liefervertrag","4","","7.12892","Power Grid: Supply Contract","2","6","120","120","120","2011","expansion",,,,,,,,,,,,,
2066,"Funkenschlag: Die Aktiengesellschaften","6","","6.8422","Power Grid: The Stock Companies","2","6","120","120","120","2015","expansion",,,,,,,,,,,,,
2067,"Funkenschlag: Die Neuen Kraftwerkskarten","7","","7.80941","Power Grid: The New Power Plant Cards","2","6","120","120","120","2007","expansion",,,,,,,,,,,,,
2068,"Funkenschlag: Die Roboter","7","","6.2501","thing","Power Grid: The Robots","2","5","120","120","120","",,,,,,,,,,,,,
2069,"Funkenschlag: EnBW","10","","8.26135","Funkenschlag: EnBW","2","6","120","120","120","2007","standalone",,,,,,,,,,,,,
2070,"Funkenschlag: Erweiterung Benelux/Zentraleuropa","10","","8.03494","Power Grid: Benelux/Central Europe","2","6","120","120","120","2006","expansion",,,,,,,,,,,,,
2071,"Funkenschlag: Erweiterung Brasilien/Spanien & Portugal","10","","7.88464","Power Grid: Brazil/Spain & Portugal","2","6","120","120","120","2009","expansion",,,,,,,,,,,,,
2072,"Funkenschlag: Erweiterung Korea/China","10","","8.03359","Power Grid: China/Korea","2","6","120","120","120","2008","expansion",,,,,,,,,,,,,
2073,"Funkenschlag: Erweiterung Russland/Japan","10","","7.94411","Power Grid: Russia & Japan","2","6","120","120","120","2010","expansion",,,,,,,,,,,,,
2074,"Funkenschlag: Fabrikmanager","6","","6.87038","Power Grid: Factory Manager","2","5","60","60","60","2009","standalone",,,,,,,,,,,,,
2075,"Funkenschlag: Flux-Generator","9","","7.43446","Power Grid: Flux Generator","2","6","120","120","120","2008","expansion",,,,,,,,,,,,,
2076,"Funkenschlag: Frankreich/Italien","10","","7.93045","Power Grid: France/Italy","2","6","120","120","120","2005","expansion",,,,,,,,,,,,,
2077,"Funkenschlag: Freizeitpark (BGG Promokarten-Set)","7","","7.47732","Power Grid: BGG Promo Card Set","2","6","120","120","120","2011","expansion",,,,,,,,,,,,,
2078,"Funkenschlag: Lagerhalle","7","","7.15737","Power Grid: Warehouse","2","6","120","120","120","2010","expansion",,,,,,,,,,,,,
2079,"Funkenschlag: Nordeuropa/United Kingdom & Irland","8","","7.92348","Power Grid: Northern Europe/United Kingdom & Ireland","2","6","120","120","120","2012","expansion",,,,,,,,,,,,,
2080,"Funkenschlag: Orakel & Industriespionage","5","","6.82231","Power Grid: Oracle & Industrial Espionage","2","6","120","120","120","2012","expansion",,,,,,,,,,,,,
2081,"Funkenschlag: Québec/Baden-Württemberg","9","","7.862","Power Grid: Québec/Baden-Württemberg","2","6","120","120","120","2012","expansion",,,,,,,,,,,,,
2082,"Funkenschlag: Speicherkraftwerk","6","","5.5655","thing","Funkenschlag: Speicherkraftwerk","2","6","120","120","120","",,,,,,,,,,,,,
2083,"Funkenschlag: Umspannwerk","9","","7.44557","Power Grid: Transformer Station","2","6","120","120","120","2009","expansion",,,,,,,,,,,,,
2084,"Die Fürsten von Florenz","7","4","7.54658","The Princes of Florence","2","5","100","100","75","2000","standalone",,,,,,,,,,,,,
2085,"The Fury of Dracula","7","2","6.92554","The Fury of Dracula","2","4","180","180","180","1987","standalone",,,,,,,,,,,,,
2086,"Fury of Dracula","8","","7.56233","Fury of Dracula (Third/Fourth Edition)","2","5","180","180","120","2018","standalone",,,,,,,,,,,,,
2087,"Fury of Dracula (Second Edition)","7","","7.14798","Fury of Dracula (Second Edition)","2","5","180","180","180","2005","standalone",,,,,,,,,,,,,
2088,"Fussball Management","2","","0","thing","Fussball Management","2","4","0","0","0","",,,,,,,,,,,,,
2089,"Fzzzt!","6","1","6.24363","Fzzzt!","2","4","30","30","30","2009","standalone",,,,,,,,,,,,,
2090,"Fzzzt!","6","1","6.24363","Fzzzt!","2","4","30","30","30","2010","standalone",,,,,,,,,,,,,
2091,"Fzzzt! Expansion Pack","6","","6.49556","Fzzzt! Expansion Pack","2","6","30","30","30","2010","expansion",,,,,,,,,,,,,
2092,"G.I. Anvil of Victory","9","","6.98683","G.I. Anvil of Victory","2","2","180","180","180","1982","expansion",,,,,,,,,,,,,
2093,"G.I. Anvil of Victory Scenarios 91: 100","7","","7.5","G.I. Anvil of Victory Scenarios 91: 100","2","2","200","200","200","1984","expansion",,,,,,,,,,,,,
2094,"Galactic Emperor","8","3","6.61372","Galactic Emperor","3","6","90","90","90","2008","standalone",,,,,,,,,,,,,
2095,"Galaxy Trucker","9","4","7.43053","Galaxy Trucker","2","4","60","60","60","2008","standalone",,,,,,,,,,,,,
2096,"Galaxy Trucker Bonuskarten","8","","7.315","Galaxy Trucker: Bonus Cards","2","4","0","0","0","2007","expansion",,,,,,,,,,,,,
2097,"Galaxy Trucker: Brandneue Modelle","6","","7.92926","Galaxy Trucker: Latest Models","2","5","90","90","90","2013","expansion",,,,,,,,,,,,,
2098,"Galaxy Trucker: Die Große Erweiterung","8","","7.95216","Galaxy Trucker: The Big Expansion","2","5","60","60","60","2008","expansion",,,,,,,,,,,,,
2099,"Galaxy Trucker: Even-Steven Cards","8","","7.18973","Galaxy Trucker: Even-Steven Cards","2","5","90","90","90","2012","expansion",,,,,,,,,,,,,
2100,"Galaxy Trucker: Missions","7","","8.01303","Galaxy Trucker: Missions","2","5","60","60","60","2015","expansion",,,,,,,,,,,,,
2101,"Galaxy Trucker: Noch eine große Erweiterung","8","","8.07313","Galaxy Trucker: Another Big Expansion","2","5","90","90","60","2012","expansion",,,,,,,,,,,,,
2102,"Galaxy Trucker: Rough Road Ahead","7","","7.60471","Galaxy Trucker: Rough Road Ahead","2","4","60","60","60","2007","expansion",,,,,,,,,,,,,
2103,"Galaxy: The Dark Ages","5","","6.2518","Galaxy: The Dark Ages","2","5","90","90","90","2000","standalone",,,,,,,,,,,,,
2104,"Galopp Royal","5","3","5.87877","Galopp Royal","3","6","45","45","45","1995","standalone",,,,,,,,,,,,,
2105,"Gambler","8","28","6.41826","Sharp Shooters","2","6","10","10","10","1998","standalone",,,,,,,,,,,,,
2106,"The Game of France,"746","5","5.56002","thing","The Game of France, 1940: German Blitzkrieg in the West","2","2","180","180","",,,,,,,,,,,,,
2107,"The Game of Good Cooking","5","","5.28667","The Game of Good Cooking","2","4","60","60","60","1989","standalone",,,,,,,,,,,,,
